GLDU5072869,,FCLFCL,20DV,EBKG01843483-1,,,VAN,09:50,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,ALDRZ,,IDPNJ,IDPNJ
TLLU3306963,,FCLFCL,20DV,EBKG01871759-1,,,VAN,09:52,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,CNSHA,,IDPNJ,IDPNJ
TLLU2191601,,FCLFCL,20DV,553IN2105275-1,,,VAN,10:08,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,ESBCN,,IDPNJ,IDPNJ
MEDU5423353,,FCLFCL,20DV,EBKG01871759-1,,,VAN,10:13,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,CNSHA,,IDPNJ,IDPNJ
TEMU5848005,,FCLFCL,20DV,553IN2105559-1,,,VAN,10:14,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,RUNVS,,IDPNJ,IDPNJ
FCIU4288765,,FCLFCL,20DV,553IN2105275-1,,,VAN,10:15,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,ESBCN,,IDPNJ,IDPNJ
CAIU6440570,,FCLFCL,20DV,553IN2105275-1,,,VAN,10:18,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,ESBCN,,IDPNJ,IDPNJ
MSDU1641400,,FCLFCL,20DV,553IN2105275-1,,,VAN,10:22,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,ESBCN,,IDPNJ,IDPNJ
MEDU3812037,,FCLFCL,20DV,553IN2105439-1,,,VAN,10:23,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,ESBCN,,IDPNJ,IDPNJ
CRLU1251470,,FCLFCL,40HR,EBKG01910205-1,,,VAN,10:26,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,USBAL,,IDPNJ,IDPNJ
MSCU3494177,,FCLFCL,20DV,553IN2105275-1,,,VAN,10:42,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,ESBCN,,IDPNJ,IDPNJ
GLDU9433450,,FCLFCL,20DV,EBKG01843483-1,,,VAN,10:53,MSC,MSC TANIA,HC136R,22/09/2021,IDPNJAC,,IDPNJ,IDPNJTJ,,,IDPNJ,ALDRZ,,IDPNJ,IDPNJ
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
